output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/fuzzed_images/seed_icc_perm01_DCI(P3) RGB_001.png,14545,7.9742,acc1c47af4290055bd5b63a322eceef46ffd5ec97b013e984ab7d0a0b8355002,13533,1012,2026-05-25 07:40:09
/tmp/fuzzed_images/seed_perm01_001.png,13533,7.9795,cc74e18bf3e3db5ba0d61c4ce21091a5f5030f101f18539167cf3b19e271f0e3,,,2026-05-25 07:40:09
/tmp/fuzzed_images/seed_icc_perm03_ACESCG Linear_002.png,58289,7.9916,cbbf596826dd09517bf206330f82a3e08a865392a90a99d10d2ea80c1250753b,53938,4351,2026-05-25 07:40:09
/tmp/fuzzed_images/seed_perm03_002.png,53938,7.9930,7eddb55926a0dd567bda304c99d3cad6d4c0f0d26063c5a80ee8868c001f1c6b,,,2026-05-25 07:40:12
/tmp/fuzzed_images/seed_icc_perm04_Generic CMYK Profile_003.png,215422,7.9950,b93a93240083744e9df0c046e90628d83c2f1d2fbb6631fd26f0dd1c65eb2874,215410,12,2026-05-25 07:40:12
/tmp/fuzzed_images/seed_perm04_003.png,215410,7.9951,4799bef57b15466efbc8ce995bfc0360b0e385c4e9ef72fdb424f670a0cff774,,,2026-05-25 07:40:12
/tmp/fuzzed_images/seed_icc_perm06_ITU-709_004.png,66037,7.9948,5666e9b30edf55282ef64a877aa6bc826fe5a54a14f56d477e47235b64e2908c,65826,211,2026-05-25 07:40:13
/tmp/fuzzed_images/seed_perm06_004.png,65826,7.9937,129dcacb95b7e178d1f0f01efd968d61f12536b69b5fbe2011abdbff8ebf7ae1,,,2026-05-25 07:40:13
/tmp/fuzzed_images/seed_icc_perm07_Generic RGB Profile_005.png,67433,7.9931,64150181a2eb4c8c867bb5331cdb80fef9ad1b58c846e9f6680ca77fe83a8364,65951,1482,2026-05-25 07:40:13
/tmp/fuzzed_images/seed_perm07_005.png,65951,7.9939,370db4cbd81c172ccbf7c2e2c186f6f575021372a9f1a37a600556f51ad59055,,,2026-05-25 07:40:13
/tmp/fuzzed_images/seed_icc_perm08_ITU-2020_006.png,4156,7.9320,2fb396145f4c199f59ef8dde1ee5fc76a28ca396a5115ddd0892f8dd72e5ff73,3520,636,2026-05-25 07:40:13
/tmp/fuzzed_images/seed_perm08_006.png,3520,7.9133,571ee3271378f8b8641b78450d33d6086cdb319f76abdf58c4f324b48ae4c5ed,,,2026-05-25 07:40:13
