output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/fuzzed_images/seed_icc_perm01_DCI(P3) RGB_001.png,14506,7.9714,73e151789d2612496d4bdb2ea3a3f7b634b4d2175b832951b76b3f18e48a679f,13507,999,2026-05-11 07:19:13
/tmp/fuzzed_images/seed_perm01_001.png,13507,7.9807,7fcd97525931a52025f32e81333fc9a488c0245f90d2ff2abe8b9adeb7f557a6,,,2026-05-11 07:19:14
/tmp/fuzzed_images/seed_icc_perm03_ACESCG Linear_002.png,58544,7.9916,fde3bb6f493c437658ab743b549933f3765cf8ebba8d8be85954f9f6ef1c4fe6,54128,4416,2026-05-11 07:19:14
/tmp/fuzzed_images/seed_perm03_002.png,54128,7.9931,103e93662838b0295b7def2b82449d9b73b16299499c9b444b3edf003216b58f,,,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_icc_perm04_Generic CMYK Profile_003.png,215647,7.9954,bfd15f9a36fe2a2b4cdd84d93621e06a925113f580e1e9843a3214f7e0dd0bbc,215635,12,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_perm04_003.png,215635,7.9954,6b9cfe025b7af99e532f9de99db27754b877c130608181ebcea792d4cb219464,,,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_icc_perm06_ITU-709_004.png,66248,7.9948,2a923f1eaafc2b05566dc6995ae2949e2960c87eb0cd5ff7a2b371ecf2dfd49c,65982,266,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_perm06_004.png,65982,7.9947,f7e5cea4a6158e09ca67921df8f7e513ef8b9461d93258345d9736fd7749cd00,,,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_icc_perm07_Generic RGB Profile_005.png,67465,7.9929,b1d42e58d06e23e7ccaff757c09ce94c36e87d2b8768698a316a0926c3e0622c,66071,1394,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_perm07_005.png,66071,7.9933,bb020aa6e8b1479341e23dee5869b1e490091fd522b64d5b53d7e0cf1d8131ea,,,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_icc_perm08_ITU-2020_006.png,4193,7.9274,c9cc6ad041b0d7ae41bb9d5e4a24cc2eb5a86b6fff9c6fddddbad62d17f1948a,3531,662,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_perm08_006.png,3531,7.9124,69e7745f658b96c06ebd15f165be57551cd7cf189eed9a4b9a87ee02d2358249,,,2026-05-11 07:19:41
/tmp/fuzzed_images/seed_icc_perm09_sRGB Profile_007.png,861698,7.9955,9431f80e9a8d6b9e40efbea475324139aa4f2256456f63f7bb10644dc6c4758f,861686,12,2026-05-11 07:19:42
/tmp/fuzzed_images/seed_perm09_007.png,861686,7.9955,afe3081d66298220ca25e4efc294244df8217bad14d84aed95db7bf9097503e0,,,2026-05-11 07:20:14
/tmp/fuzzed_images/seed_icc_perm10_Generic Gray Profile_008.png,31639,7.9914,9b9a28bcb925b6d6b842daa5e00df9650b948127c8a87a2908631f11de98d96e,31627,12,2026-05-11 07:20:14
/tmp/fuzzed_images/seed_perm10_008.png,31627,7.9914,e11f6bcc6e7882486d33445b616a4eee013dc6e0c19a42e7a36d9dad20ff2ee9,,,2026-05-11 07:20:14
/tmp/fuzzed_images/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84142,7.9941,1d5a6c4d671676142804f08a2d883ae888e677a92943fe23c2d220a628adc524,84130,12,2026-05-11 07:20:14
/tmp/fuzzed_images/seed_perm11_009.png,84130,7.9942,58d9294eb95d2904f3d9fc05bd908be0c15ac2c06f58cb389d5cb82f047d649c,,,2026-05-11 07:20:16
/tmp/fuzzed_images/seed_icc_perm12_ROMM RGB_010.png,32894,7.9883,5d025f841e4928a36b2ca96ef615502a540f83eb023c103b334a0313dc51487a,30527,2367,2026-05-11 07:20:16
/tmp/fuzzed_images/seed_perm12_010.png,30527,7.9886,a73b6ed213eed5e117caa7e5d37144f140f0101bece1f80bba3f59b93741544d,,,2026-05-11 07:20:17
/tmp/fuzzed_images/seed_icc_perm01_Generic Lab Profile_011.png,1054,7.6674,961b5accf718bbd78a6ed58d44458553a7d7141eb824c71c92cf864a43b949a2,1042,12,2026-05-11 07:20:17
/tmp/fuzzed_images/seed_perm01_011.png,1042,7.6936,860d1833d5ef97f110bce9639c4638fe3456c19438e30dcd5381cdf648993f4d,,,2026-05-11 07:20:17
/tmp/fuzzed_images/seed_icc_perm05_Generic XYZ Profile_012.png,2087,7.8212,02fb3fb2fcaf4f4282cc7b44e75e6a6e1782f5a5435fe17ea68d36b2c35c8b72,2075,12,2026-05-11 07:20:17
/tmp/fuzzed_images/seed_perm05_012.png,2075,7.8333,57cc4efe91b9f81e7f532a17cd1acaa4aff2e566ba9fca9a1c96d2ee820582ff,,,2026-05-11 07:20:17
