output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/fuzzed_images/seed_icc_perm01_DCI(P3) RGB_001.png,14515,7.9799,12d43edaa72550f948e7774160d23024d348c40909dafcbff648d91661dd2bdc,13505,1010,2026-04-01 17:38:34
/tmp/fuzzed_images/seed_perm01_001.png,13505,7.9785,9b350cea53e15d3e8b70c292827382ad61462331c5b6cfe2ffd623ad8743dfe4,,,2026-04-01 17:38:34
/tmp/fuzzed_images/seed_icc_perm03_ACESCG Linear_002.png,58685,7.9927,7e89ac09db6ca200242350398036213fa617ac9df473dea4a592f84b5b76fe83,54225,4460,2026-04-01 17:38:34
/tmp/fuzzed_images/seed_perm03_002.png,54225,7.9938,56c893ceae3f311859a0d0a56fbae66a3d9168e3640f5a9c19c9a7ddd067796e,,,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_icc_perm04_Generic CMYK Profile_003.png,215585,7.9951,cea955a9c1bdcf6afff480c720762187f80943830875164e4a6d798da7ff0eaf,215573,12,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_perm04_003.png,215573,7.9951,dc0b801ec31923734c94be4201e45b2b565ee5cd877311258456cafc0a7fda38,,,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_icc_perm06_ITU-709_004.png,66008,7.9946,aa08f3098297ada14f6fc16861ec8fc9fd826b8334c4ee5dbcdd81caba57cec3,65819,189,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_perm06_004.png,65819,7.9937,06a87f3b9573cec5d6a8af89fe371205961aaed9d7866fe3cfccdb55923dfc0c,,,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_icc_perm07_Generic RGB Profile_005.png,67402,7.9926,6c98b109b80d977acaaccba46cc2d7ad698da7cea66a7aec42faf453f1a67205,65911,1491,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_perm07_005.png,65911,7.9938,217847c67fe71a2a3cb297d2772be68a2095b82d5beb6cb7102d1eb51e3a1626,,,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_icc_perm08_ITU-2020_006.png,4236,7.9336,3f6e809684d78f41134e401fecd2b628008a936ab807eac1aac44ac9cd721b52,3508,728,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_perm08_006.png,3508,7.9177,70f3c23e63b2db6660fff7c2f842ef4854442c2fd6a5b2abcb32a567a1f63747,,,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_icc_perm09_sRGB Profile_007.png,861703,7.9955,f7258a245141b41a541c12adaa06eeda04ccf8aeff6d99738a8b4f937cab545e,861691,12,2026-04-01 17:38:36
/tmp/fuzzed_images/seed_perm09_007.png,861691,7.9955,c6963491c02aecf1085663fbf59df401ebc15e8863c0f939275cf91235c8fb15,,,2026-04-01 17:39:35
/tmp/fuzzed_images/seed_icc_perm10_Generic Gray Profile_008.png,31589,7.9897,7e9bfb26610d37be842a4d223a57d36a8c71a2ff9a91370d4621361c1d4a2b4d,31577,12,2026-04-01 17:39:35
/tmp/fuzzed_images/seed_perm10_008.png,31577,7.9896,1efa5ce84edcdc8457b8d07df330a0de05b177145c973dff6c51955dd9a91116,,,2026-04-01 17:39:36
/tmp/fuzzed_images/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84343,7.9945,d1d0469c5f689d1f4a766e7104e287b8d8973db8163685d4f98180cda6686293,84331,12,2026-04-01 17:39:36
/tmp/fuzzed_images/seed_perm11_009.png,84331,7.9945,48eaa60ec1d95cfdc95c64552e4fad8a0a3aca2fd192b6b606aae7aaf62c38d9,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm12_ROMM RGB_010.png,32769,7.9865,ef0eadc2825be66219e0aa27e6eeb58c74e8f6515c6a5998b1782115070bb5e7,30422,2347,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm12_010.png,30422,7.9880,68853da8afcddfe2cdd202222b16854fac7c9db4b9558b03fefbce872d93a586,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm01_Generic Lab Profile_011.png,1053,7.6346,443211373622906dde640f002ea878758443bd6e3e6117723a44e6ebe452b6ea,1041,12,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm01_011.png,1041,7.6656,263d006700ecd4cb547864bee09078533d135dd3799c79622f1bf79823cbdbf8,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm05_Generic XYZ Profile_012.png,2080,7.8118,3cdbc83e91d910666eccea411cf56ba70c9b13b4e90a3efdb7ad91b309996afa,2068,12,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm05_012.png,2068,7.8253,6d3a3873064668701ce77b49e9b4fe3b063bcd0ec1101589602b608f51eee89b,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm02_AdobeRGB1998_013.png,2262,7.8463,69de11758927d5f864333504904c51ffffad1f238e4b7d1024403a72b3ffa714,1868,394,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm02_013.png,1868,7.8395,61246802ccfea30107e7189e63fcb67247f5f7bf5bab1d0faf02fcd5658b8377,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm04_Display P3_014.png,2387,7.8467,7a3d9b8b5be97f8e1ecca7b06c570a81c671515dfce3a64b8fcbf1d60910bfeb,1896,491,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm04_014.png,1896,7.8328,8110053f88cdae0bead33f9fb9db2e9fd69cb6c634293096bdb81a83d8c2fd8e,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm13_DCI(P3) RGB_015.png,8427,7.9644,85b67c7815abc5dd8d95165b5e5a5aff7a308a3c46a798314513ff15ea8ef342,7670,757,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm13_015.png,7670,7.9679,16a157aee5da11b59549c09b7e72e2d672e6e707648c58957531017789d02db5,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm14_ACESCG Linear_016.png,7875,7.9636,740b2a04d101dcce3c650db6a276de6daada2d44250a39aa9ae5f2622a3b4e40,6872,1003,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm14_016.png,6872,7.9649,0d411ca391f29008584e3b0443e086aa8101114a7dd92f813d5669c5e8363b2c,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm15_Generic CMYK Profile_017.png,6923,7.9623,8e59bc147403dd2033a95396007f20fce763daed78e1fd2fbb5f6c906ddd4bdf,6911,12,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm15_017.png,6911,7.9640,19e18b4f0b6b831e6d43f0354487013658f9a42cd00f28996ab5081c5ae2cc9e,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm16_ITU-709_018.png,27380,7.9890,ac6af1e7e67f9e4d5c46adeefbca604f5ee563cb2efd3d58e97764a5a8fa4e51,27025,355,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm16_018.png,27025,7.9873,1c7e4a1866cce7f225e0ef94c30a282340a18287f3bf616988877519978b3313,,,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_icc_perm17_Generic RGB Profile_019.png,28249,7.9889,1058e6f253e6daa99dd6a782561ce71f734b5be1b171e90dbb1b0b8495fd41dd,27049,1200,2026-04-01 17:39:38
/tmp/fuzzed_images/seed_perm17_019.png,27049,7.9876,e67704fa3fc6033be68d9f319a2b6be30c3b408aaf0713412f79d7e702ed10cc,,,2026-04-01 17:39:39
